PERID,GENDER,COUNTRY_OF_BIRTH,NATIONALITY,AGE,AGE_GROUPING,MARITAL_STATUS,RANK_GRADE,RANK_GROUPING,YEARS_IN_GRADE,EMPLOYEE_GROUP,PARENT_SERVICE,SERVICE_SUB_AREA,SERVICE_TYPE,YEARS_OF_SERVICE,VOC,UNIT,NO_OF_KIDS,MIN_CHILD_AGE,AVE_CHILD_AGE,HSP_ESTABLISHMENT,HSP_CERTIFICATE,HSP_CERT_RANK,HSP_CERT_DESC,UPGRADED_LAST_3_YRS,UPGRADED_CERT_3_YRS,UPGRADED_CERT_DESC_3_YRS,MARRIED_WITHIN_2_YEARS,DIVORCE_WITHIN_2_YEARS,DIVORCE_REMARRIED_WITHIN_2_YEARS,PROMO_LAST_5_YRS,PROMO_LAST_4_YRS,PROMO_LAST_3_YRS,PROMO_LAST_2_YRS,PROMO_LAST_1_YR,UNIT_CHG_LAST_3_YRS,UNIT_CHG_LAST_2_YRS,UNIT_CHG_LAST_1_YR,AWARDS_RECEIVED,HOUSING_TYPE,HOUSING_GROUP,HOUSING_RANK,PREV_HOUSING_TYPE,MOVE_HOUSE_T_2,HOUSE_UPG_DGRD,IPPT_SCORE,PES_SCORE,HOMETOWORKDIST,SVC_INJURY_TYPE,TOT_PERC_INC_LAST_1_YR,BAS_PERC_INC_LAST_1_YR
10000675,Male,Singapore,Singaporean,42,40 and Above,Marr.,RANK 2,MIDDLE WOSE,0,MILITARY REGULARS,SERVICE B,SERVICE B,PP-EWOS,21.41666667,VOCATION 6,UNIT 64,2,6,8,Diploma,Diploma,6,DIPLOMA IN ELECTRICAL ENGINEERING,NO,NONE,NONE,NO,NO,NO,1,1,1,1,1,YES,YES,YES,3,4-ROOM,PUBLIC,4,NONE,NO,0,2,5,1.98,0,-30.89982633,-22.32840072
10000677,Male,Singapore,Singaporean,42,40 and Above,Marr.,RANK 2,MIDDLE WOSE,1,MILITARY REGULARS,SERVICE D,SERVICE C,PP-EWOS,25.83333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10000685,Male,Singapore,Singaporean,43,40 and Above,Marr.,RANK 21,JUNIOR ME,3,MILITARY REGULARS,SERVICE D,SERVICE C,MDES,23.41666667,VOCATION 59,UNIT 136,1,4,4,Diploma,Diploma,6,DIPLOMA IN MECHANICAL ENGINEERING,NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,NO,NO,NO,1,3-ROOM,PUBLIC,3,4-ROOM,YES,-1,1,3,26.41,0,-10.03209614,7.948142482
10000686,Male,Singapore,Singaporean,50,40 and Above,Marr.,RANK 2,MIDDLE WOSE,9,MILITARY REGULARS,SERVICE D,SERVICE C,PP-EWOS,33.33333333,VOCATION 94,UNIT 402,1,19,19,Secondary,GCE 'O' Level,4,NOT AVAILABLE,NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,NO,NO,NO,2,PRIVATE NON-LANDED,PRIVATE,7,NONE,NO,0,3,1,20.2,1,-24.62004526,-25.04310947
10000688,Male,Singapore,Singaporean,52,40 and Above,Marr.,RANK 22,MIDDLE ME,3,MILITARY REGULARS,SERVICE D,SERVICE C,MDES,34.58333333,VOCATION 59,UNIT 185,2,19,20.5,Secondary,GCE 'O' Level,4,GCE 'O' LEVEL,NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,NO,NO,NO,2,4-ROOM,PUBLIC,4,NONE,NO,0,3,1,5.46,0,-19.39022143,7.402538497
10000693,Male,Singapore,Singaporean,52,40 and Above,Marr.,RANK 2,MIDDLE WOSE,11,MILITARY REGULARS,SERVICE D,SERVICE C,PP-EWOS,34.33333333,VOCATION 94,UNIT 402,1,21,21,Primary,PSLE/PSPE,2,NOT AVAILABLE,NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,NO,NO,NO,3,PRIVATE NON-LANDED,PRIVATE,7,NONE,NO,0,2,5,16.16,0,-24.11848102,-25.04310947
10000694,Male,Singapore,Singaporean,49,40 and Above,Marr.,RANK 17,MIDDLE OFFICER,10,MILITARY REGULARS,SERVICE D,SERVICE C,Full CPF (SAVER-EOS),30.25,VOCATION 109,UNIT 215,2,10,11.5,University,Pass Degree,8,BACHELOR OF ENGINEERING,NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,NO,NO,NO,1,PRIVATE NON-LANDED,PRIVATE,7,LANDED,YES,-1,1,4,12.04,0,-16.58767146,8.0041269
10000695,Male,Singapore,Singaporean,49,40 and Above,Marr.,RANK 17,MIDDLE OFFICER,11,MILITARY REGULARS,SERVICE A,SERVICE A,Full CPF (SAVER-EOS),29.33333333,VOCATION 203,UNIT 257,0,0,0,University,Master,10,MASTER OF BUSINESS ADMINISTRATION,NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,YES,YES,YES,10,PRIVATE NON-LANDED,PRIVATE,7,NONE,NO,0,2,3,17.23,0,-16.02590474,5.308680485
10000696,Male,Singapore,Singaporean,45,40 and Above,Marr.,RANK 22,MIDDLE ME,3,MILITARY REGULARS,SERVICE C,SERVICE C,MDES,26.58333333,VOCATION 157,UNIT 222,3,6,12.33333333,Diploma,Diploma,6,DIPLOMA IN ELECTRONIC ENGINEERING,NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,NO,NO,NO,1,5-ROOM,PUBLIC,5,NONE,NO,0,1,1,11.91,0,-9.912878366,9.289205686
10000697,Male,Singapore,Singaporean,45,40 and Above,Marr.,RANK 22,MIDDLE ME,3,MILITARY REGULARS,SERVICE B,SERVICE B,MDES,27.16666667,VOCATION 12,UNIT 113,3,2,6,Secondary,GCE 'O' Level,4,GCE 'O' LEVEL,NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,YES,YES,NO,2,5-ROOM,PUBLIC,5,3-ROOM,YES,2,2,1,7.88,0,-7.968180286,7.014912114
10000700,Male,Singapore,Singaporean,45,40 and Above,Single,RANK 5,MIDDLE WOSE,3,MILITARY REGULARS,SERVICE D,SERVICE C,PP-EWOS,23.58333333,VOCATION 289,UNIT 135,0,0,0,Technical Education,ITE/Poly Certificate,5,ELECTRICAL FITTING AND INSTALLATION,NO,NONE,NONE,NO,NO,NO,1,1,0,0,0,YES,NO,NO,2,4-ROOM,PUBLIC,4,NONE,NO,0,1,1,27.21,0,-28.53694049,-23.61385976
10000702,Male,Singapore,Singaporean,42,40 and Above,Marr.,RANK 22,MIDDLE ME,0,MILITARY REGULARS,SERVICE A,SERVICE A,MDES,24.33333333,VOCATION 236,UNIT 367,1,20,20,Diploma,Diploma,6,DIPLOMA IN ELECTRONIC ENGINEERING,NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,YES,NO,NO,2,5-ROOM,PUBLIC,5,NONE,NO,0,0,4,22.49,0,0,0
10000706,Male,Singapore,Singaporean,45,40 and Above,Marr.,RANK 22,MIDDLE ME,3,MILITARY REGULARS,SERVICE A,SERVICE A,MDES,28.66666667,VOCATION 236,UNIT 412,2,10,13,Diploma,Diploma,6,DIPLOMA IN ELECTRONICS AND COMMUNICATION ENGINEERING,NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,YES,NO,NO,2,5-ROOM,PUBLIC,5,NONE,NO,0,0,4,0,0,-13.04199915,9.012979603
10000712,Male,Singapore,Singaporean,40,36 to 40,Marr.,RANK 2,MIDDLE WOSE,0,MILITARY REGULARS,SERVICE D,SERVICE C,PP-EWOS,22.83333333,VOCATION 94,UNIT 401,2,11,12,Secondary,GCE 'O' Level,4,GCE 'O' LEVEL,NO,NONE,NONE,NO,NO,NO,1,1,1,1,1,YES,YES,NO,6,EXECUTIVE,PUBLIC,6,NONE,NO,0,2,5,6.9,0,-31.32735117,-22.97777482
10000714,Male,Singapore,Singaporean,42,40 and Above,Marr.,RANK 18,MIDDLE OFFICER,9,NATIONAL SERVICEMEN,SERVICE B,SERVICE B,SAVER-EOS,22.16666667,VOCATION 252,UNIT 286,0,0,0,Diploma,Diploma,6,DIPLOMA IN ELECTRONIC ENGINEERING,NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,NO,NO,NO,1,PRIVATE NON-LANDED,PRIVATE,7,NONE,NO,0,2,3,24.85,0,0.920622288,4.099657548
10000715,Male,Singapore,Singaporean,41,40 and Above,Marr.,RANK 17,MIDDLE OFFICER,0,MILITARY REGULARS,SERVICE D,SERVICE C,SAVER-EOS,22.66666667,VOCATION 121,UNIT 261,4,3,7.25,University,Honours Degree,9,BACHELOR OF ARTS (MERIT),NO,NONE,NONE,NO,NO,NO,1,1,1,1,1,NO,NO,NO,2,5-ROOM,PUBLIC,5,NONE,NO,0,2,5,8.01,0,-22.94346067,7.333999714
10000716,Male,Singapore,Singaporean,42,40 and Above,Marr.,RANK 5,MIDDLE WOSE,5,MILITARY REGULARS,SERVICE D,SERVICE C,PP-EWOS,22.33333333,VOCATION 125,UNIT 391,2,5,10,Diploma,Diploma,6,DIPLOMA IN MECHANICAL ENGINEERING,YES,Advanced Diploma,SPECIALIST ADVANCED DIPLOMA IN LEARNING AND INSTRUCTION,NO,NO,NO,0,0,0,0,0,NO,NO,NO,1,EXECUTIVE,PUBLIC,6,NONE,NO,0,2,4,10.77,0,-27.61426786,-22.52309452
10000717,Male,Singapore,Singaporean,41,40 and Above,Marr.,RANK 21,JUNIOR ME,3,MILITARY REGULARS,SERVICE C,SERVICE C,MDES,22.33333333,VOCATION 154,UNIT 293,2,12,14,Technical Education,ITE/Poly Certificate,5,ACCOUNTING,NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,NO,NO,NO,1,4-ROOM,PUBLIC,4,NONE,NO,0,1,3,19.45,0,-0.034276473,5.585033886
10000718,Male,Singapore,Singaporean,42,40 and Above,Marr.,RANK 2,MIDDLE WOSE,1,MILITARY REGULARS,SERVICE D,SERVICE C,PP-EWOS,24.16666667,VOCATION 94,UNIT 402,2,1,7,Diploma,Diploma,6,DIPLOMA IN INFORMATION TECHNOLOGY,NO,NONE,NONE,NO,NO,NO,1,1,1,1,0,NO,NO,NO,3,4-ROOM,PUBLIC,4,NONE,NO,0,3,5,9.7,0,-23.5736908,-22.05758023
10000721,Male,Singapore,Singaporean,41,40 and Above,Single,RANK 22,MIDDLE ME,3,MILITARY REGULARS,SERVICE C,SERVICE C,MDES,20.83333333,VOCATION 154,UNIT 219,0,0,0,Secondary,GCE 'O' Level,4,GCE 'O' LEVEL,NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,NO,NO,NO,1,3-ROOM,PUBLIC,3,NONE,NO,0,2,4,17.23960153,0,-3.207762563,7.731123261
10000729,Male,Singapore,Singaporean,49,40 and Above,Marr.,RANK 22,MIDDLE ME,3,MILITARY REGULARS,SERVICE C,SERVICE C,MDES,31.66666667,VOCATION 154,UNIT 293,3,21,21.66666667,Diploma,Diploma,6,DIPLOMA IN SUPERVISORY MANAGEMENT,NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,YES,YES,YES,5,5-ROOM,PUBLIC,5,NONE,NO,0,1,1,8.26,0,-9.563614338,3.982261239
10000734,Male,Singapore,Singaporean,45,40 and Above,Divorc,RANK 18,MIDDLE OFFICER,8,MILITARY REGULARS,SERVICE D,SERVICE C,Full CPF (SAVER-EOS),17.25,VOCATION 127,UNIT 216,2,10,11,Pre University,GCE 'A' Level,6,GCE 'A' LEVEL,NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,YES,YES,YES,2,5-ROOM,PUBLIC,5,NONE,NO,0,2,4,10.79,0,-12.5056729,4.992789915
10000737,Male,Singapore,Singaporean,48,40 and Above,Marr.,RANK 2,MIDDLE WOSE,2,MILITARY REGULARS,SERVICE D,SERVICE C,PP-EWOS,31.83333333,VOCATION 125,UNIT 315,2,1,8,Secondary,GCE 'O' Level,4,NOT AVAILABLE,NO,NONE,NONE,NO,NO,NO,1,1,1,0,0,YES,NO,NO,4,5-ROOM,PUBLIC,5,NONE,NO,0,1,4,0,0,-32.69747459,-22.64800531
10000738,Male,Singapore,Singaporean,46,40 and Above,Marr.,RANK 17,MIDDLE OFFICER,8,MILITARY REGULARS,SERVICE D,SERVICE C,Full CPF (SAVER-EOS),27.41666667,VOCATION 44,UNIT 388,5,10,13.2,University,Master,10,MASTER OF BUSINESS ADMINISTRATION,YES,Qualification From Professional Bodies,ADVANCED COURSE IN LEARNING SCIENCE,NO,NO,NO,0,0,0,0,0,YES,NO,NO,2,EXECUTIVE,PUBLIC,6,PRIVATE NON-LANDED,YES,-1,1,3,16.03,1,-12.17056686,7.983538153
10000740,Male,Singapore,Singaporean,54,40 and Above,Marr.,RANK 22,MIDDLE ME,3,MILITARY REGULARS,SERVICE B,SERVICE B,MDES,34.83333333,VOCATION 12,UNIT 14,2,21,22,Secondary,GCE 'O' Level,4,GCE 'O' LEVEL,NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,YES,NO,NO,10,5-ROOM,PUBLIC,5,NONE,NO,0,1,5,8.2,0,-15.70922073,6.303809976
10000746,Male,Singapore,Singaporean,41,40 and Above,Marr.,RANK 17,MIDDLE OFFICER,2,MILITARY REGULARS,SERVICE C,SERVICE B,SAVER-EOS,22.41666667,VOCATION 78,UNIT 291,3,6,8.666666667,University,Honours Degree,9,BACHELOR OF ARTS (MERIT),NO,NONE,NONE,NO,NO,NO,1,1,1,0,0,YES,YES,YES,4,5-ROOM,PUBLIC,5,NONE,NO,0,3,4,7.96,0,-18.68622861,10.95953396
10000747,Male,Singapore,Singaporean,40,36 to 40,Marr.,RANK 22,MIDDLE ME,3,MILITARY REGULARS,SERVICE A,SERVICE A,MDES,21.08333333,VOCATION 236,UNIT 405,3,3,6.333333333,Diploma,Diploma,6,DIPLOMA IN MARINE ENGINEERING,NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,YES,NO,NO,1,5-ROOM,PUBLIC,5,NONE,NO,0,2,4,36.15,0,-14.4770022,7.732208566
10000750,Male,Singapore,Singaporean,41,40 and Above,Marr.,RANK 18,MIDDLE OFFICER,2,MILITARY REGULARS,SERVICE B,SERVICE B,SAVER-EOS,18.75,VOCATION 78,UNIT 246,2,14,14.5,Diploma,Diploma,6,DIPLOMA IN NAUTICAL STUDIES,NO,NONE,NONE,NO,NO,NO,1,1,1,0,0,YES,NO,NO,1,5-ROOM,PUBLIC,5,NONE,NO,0,1,4,30.11,0,-16.95167696,12.73038073
10000751,Male,Singapore,Singaporean,40,36 to 40,Marr.,RANK 22,MIDDLE ME,3,MILITARY REGULARS,SERVICE D,SERVICE C,MDES,23.58333333,VOCATION 59,UNIT 304,1,13,13,University,Honours Degree,9,BACHELOR OF SCIENCE (MANAGEMENT) WITH (SECOND CLASS HONOURS (LOWER DIVISION)),NO,NONE,NONE,NO,NO,NO,1,1,0,0,0,YES,NO,NO,2,4-ROOM,PUBLIC,4,NONE,NO,0,1,1,2.83,0,-10.84863975,7.130022443
10000756,Male,Singapore,Singaporean,43,40 and Above,Marr.,RANK 10,SENIOR OFFICER,4,MILITARY REGULARS,SERVICE D,SERVICE C,SAVER-EOS,24.66666667,VOCATION 44,UNIT 151,1,6,6,University,Master,10,MASTER IN PUBLIC ADMINISTRATION,NO,NONE,NONE,NO,NO,NO,1,0,0,0,0,YES,YES,YES,4,LANDED,PRIVATE,8,PRIVATE NON-LANDED,YES,1,3,5,26.59,0,-13.30759227,5.301320049
10000757,Male,Singapore,Singaporean,43,40 and Above,Marr.,RANK 22,MIDDLE ME,3,MILITARY REGULARS,SERVICE B,SERVICE B,MDES,23.16666667,VOCATION 12,UNIT 11,2,13,14,Diploma,Diploma,6,DIPLOMA IN MECHANICAL ENGINEERING,NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,YES,YES,YES,2,4-ROOM,PUBLIC,4,NONE,NO,0,2,3,9.9,0,-14.54602865,11.82689814
10000760,Male,Singapore,Singaporean,43,40 and Above,Marr.,RANK 38,SENIOR OFFICER,3,MILITARY REGULARS,SERVICE A,SERVICE A,SAVER-EOS,23.16666667,VOCATION 203,UNIT 274,2,6,9,University,Honours Degree,9,BACHELOR OF ENGINEERING (FIRST CLASS HONOURS),NO,NONE,NONE,NO,NO,NO,1,1,0,0,0,YES,YES,YES,5,3-ROOM,PUBLIC,3,NONE,NO,0,1,3,5.08,0,-17.30031265,4.606969649
10000763,Male,Singapore,Singaporean,40,36 to 40,Divorc,RANK 22,MIDDLE ME,3,MILITARY REGULARS,SERVICE B,SERVICE B,MDES,18.41666667,VOCATION 12,UNIT 109,0,0,0,Diploma,Diploma,6,DIPLOMA IN ELECTRICAL ENGINEERING,NO,NONE,NONE,NO,NO,NO,1,1,0,0,0,YES,YES,YES,2,5-ROOM,PUBLIC,5,NONE,NO,0,1,3,9.28,0,-17.07519495,7.691976277
10000764,Male,Singapore,Singaporean,40,36 to 40,Marr.,RANK 18,MIDDLE OFFICER,7,MILITARY REGULARS,SERVICE D,SERVICE C,SAVER-EOS,19.08333333,VOCATION 286,UNIT 249,0,0,0,Diploma,Diploma,6,DIPLOMA IN MECHANICAL ENGINEERING,NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,YES,NO,NO,1,PRIVATE NON-LANDED,PRIVATE,7,NONE,NO,0,1,3,25.6,1,-16.60121782,13.33234268
10000765,Male,Singapore,Singaporean,43,40 and Above,Marr.,RANK 18,MIDDLE OFFICER,8,NATIONAL SERVICEMEN,SERVICE B,SERVICE B,SAVER-EOS,23.66666667,VOCATION 252,UNIT 245,3,13,15.33333333,University,Honours Degree,9,BACHELOR OF APPLIED SCIENCE (MERIT),NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,NO,NO,NO,1,LANDED,PRIVATE,8,NONE,NO,0,1,4,11.88,0,-16.82199271,7.904350599
10000767,Male,Singapore,Singaporean,40,36 to 40,Marr.,RANK 18,MIDDLE OFFICER,9,MILITARY REGULARS,SERVICE D,SERVICE C,SAVER-EOS,21.41666667,VOCATION 68,UNIT 304,2,4,5,University,Pass Degree,8,BACHELOR OF SCIENCE,NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,YES,NO,NO,1,5-ROOM,PUBLIC,5,NONE,NO,0,1,3,13.83,0,-19.33439573,9.72347022
10000768,Male,Singapore,Singaporean,51,40 and Above,Marr.,RANK 22,MIDDLE ME,3,MILITARY REGULARS,SERVICE F,SERVICE B,MDES,34.08333333,VOCATION 12,UNIT 27,3,19,21,Secondary,GCE 'O' Level,4,GCE 'O' LEVEL,NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,YES,YES,NO,4,4-ROOM,PUBLIC,4,NONE,NO,0,1,3,10.48,0,-18.04781762,7.032415988
10000770,Male,Singapore,Singaporean,51,40 and Above,Marr.,RANK 23,MIDDLE ME,1,MILITARY REGULARS,SERVICE C,SERVICE C,MDES,32.41666667,VOCATION 59,UNIT 5,2,20,22,Diploma,Advanced Diploma,7,ADVANCED DIPLOMA IN COMPUTER AND COMMUNICATION SYSTEM,NO,NONE,NONE,NO,NO,NO,1,1,1,1,0,YES,YES,NO,6,4-ROOM,PUBLIC,4,NONE,NO,0,1,1,17.23960153,0,-2.688113314,13.008548
10000772,Male,Singapore,Singaporean,49,40 and Above,Marr.,RANK 22,MIDDLE ME,3,MILITARY REGULARS,SERVICE D,SERVICE C,MDES,29.16666667,VOCATION 59,UNIT 135,2,21,22.5,Primary,PSLE/PSPE,2,NOT AVAILABLE,NO,NONE,NONE,NO,NO,NO,1,0,0,0,0,YES,NO,NO,4,5-ROOM,PUBLIC,5,NONE,NO,0,2,4,15.88,0,-15.7319771,7.51062612
10000773,Male,Singapore,Singaporean,49,40 and Above,Marr.,RANK 22,MIDDLE ME,3,MILITARY REGULARS,SERVICE A,SERVICE A,MDES,27.91666667,VOCATION 236,UNIT 405,2,10,13.5,Diploma,Diploma,6,DIPLOMA IN ELECTRONICS AND COMMUNICATION ENGINEERING,NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,YES,NO,NO,3,PRIVATE NON-LANDED,PRIVATE,7,NONE,NO,0,1,5,38.13,0,-4.935921774,8.985994539
10000774,Male,Singapore,Singaporean,52,40 and Above,Marr.,RANK 23,MIDDLE ME,0,MILITARY REGULARS,SERVICE B,SERVICE B,MDES,35.08333333,VOCATION 12,UNIT 87,2,17,18.5,Secondary,GCE 'O' Level,4,GCE 'O' LEVEL,NO,NONE,NONE,NO,NO,NO,1,1,1,1,1,YES,YES,NO,4,EXECUTIVE,PUBLIC,6,NONE,NO,0,1,3,11.68,0,-10.33690487,6.295904376
10000780,Male,Singapore,Singaporean,46,40 and Above,Marr.,RANK 17,MIDDLE OFFICER,9,MILITARY REGULARS,SERVICE A,SERVICE A,Full CPF (SAVER-EOS),27.66666667,VOCATION 203,UNIT 274,0,0,0,University,Master,10,MASTER OF SCIENCE,NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,NO,NO,NO,3,PRIVATE NON-LANDED,PRIVATE,7,NONE,NO,0,1,5,10.32,0,-14.00858741,5.769982058
10000782,Male,Singapore,Singaporean,45,40 and Above,Marr.,RANK 27,SENIOR ME,0,MILITARY REGULARS,SERVICE D,SERVICE B,MDES,24.91666667,VOCATION 15,UNIT 276,1,11,11,University,Master,10,MASTER OF SCIENCE IN ELECTRICAL ENGINEERING,NO,NONE,NONE,NO,NO,NO,1,1,1,1,1,YES,YES,NO,1,EXECUTIVE,PUBLIC,6,NONE,NO,0,1,5,27.01,0,-27.26784309,1.820728291
10000783,Male,Singapore,Singaporean,48,40 and Above,Marr.,RANK 18,MIDDLE OFFICER,12,MILITARY REGULARS,SERVICE D,SERVICE C,Full CPF (SAVER-EOS),25,VOCATION 127,UNIT 391,1,13,13,Diploma,Diploma,6,DIPLOMA IN MECHANICAL ENGINEERING,NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,NO,NO,NO,5,5-ROOM,PUBLIC,5,NONE,NO,0,1,4,17.23960153,0,0.991375535,4.980236266
10000784,Male,Singapore,Singaporean,48,40 and Above,Marr.,RANK 17,MIDDLE OFFICER,10,MILITARY REGULARS,SERVICE D,SERVICE D,Full CPF (SAVER-EOS),29.16666667,VOCATION 129,UNIT 398,3,15,18.33333333,University,Pass Degree,8,BACHELOR OF ENGINEERING,NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,YES,YES,YES,2,PRIVATE NON-LANDED,PRIVATE,7,NONE,NO,0,1,3,14.22,0,5.416793363,5.760211165
10000786,Male,Singapore,Singaporean,56,40 and Above,Marr.,RANK 22,MIDDLE ME,3,MILITARY REGULARS,SERVICE B,SERVICE B,MDES,38.58333333,VOCATION 12,UNIT 157,2,24,26,Secondary,GCE 'O' Level,4,GCE 'O' LEVEL,NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,NO,NO,NO,1,5-ROOM,PUBLIC,5,NONE,NO,0,2,4,17.14,0,-9.347072454,9.435276849
10000787,Male,Singapore,Singaporean,56,40 and Above,Marr.,RANK 22,MIDDLE ME,3,MILITARY REGULARS,SERVICE A,SERVICE A,MDES,38.58333333,VOCATION 236,UNIT 405,2,19,20.5,Secondary,GCE 'O' Level,4,GCE 'O' LEVEL,NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,YES,YES,NO,2,4-ROOM,PUBLIC,4,NONE,NO,0,1,4,35.44,0,-11.80076033,5.285345889
10000794,Male,Singapore,Singaporean,41,40 and Above,Marr.,RANK 22,MIDDLE ME,3,MILITARY REGULARS,SERVICE F,SERVICE B,MDES,21.16666667,VOCATION 12,UNIT 262,3,0,4.333333333,Diploma,Diploma,6,DIPLOMA IN MANUFACTURING ENGINEERING,NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,YES,NO,NO,1,5-ROOM,PUBLIC,5,NONE,NO,0,0,3,7.27,0,-2.637235066,13.66618364
10000795,Male,Singapore,Singaporean,37,36 to 40,Marr.,RANK 30,MIDDLE WOSE,2,NATIONAL SERVICEMEN,SERVICE A,SERVICE A,Premium Plan 2,19,VOCATION 190,UNIT 43,0,0,0,Diploma,Diploma,6,DIPLOMA IN ELECTRICAL ENGINEERING,NO,NONE,NONE,NO,NO,NO,1,1,1,0,0,YES,YES,YES,1,EXECUTIVE,PUBLIC,6,NONE,NO,0,1,3,17.23960153,0,0,0
10000796,Male,Singapore,Singaporean,41,40 and Above,Marr.,RANK 22,MIDDLE ME,3,MILITARY REGULARS,SERVICE A,SERVICE A,MDES,20.41666667,VOCATION 236,UNIT 327,4,4,9.75,Diploma,Diploma,6,DIPLOMA IN ELECTRONIC AND COMPUTER ENGINEERING,NO,NONE,NONE,NO,NO,NO,1,1,0,0,0,NO,NO,NO,1,5-ROOM,PUBLIC,5,NONE,NO,0,1,3,28.39,0,-1.660242753,7.698170732
10000801,Male,Singapore,Singaporean,43,40 and Above,Marr.,RANK 2,MIDDLE WOSE,3,MILITARY REGULARS,SERVICE B,SERVICE B,PP-EWOS,22.08333333,VOCATION 6,UNIT 95,2,6,7.5,University,Pass Degree,8,BACHELOR OF SCIENCE,NO,NONE,NONE,NO,NO,NO,1,1,0,0,0,YES,YES,YES,1,PRIVATE NON-LANDED,PRIVATE,7,4-ROOM,YES,3,2,5,20.84,0,-26.43355487,-23.27465165
10000802,Male,Singapore,Singaporean,40,36 to 40,Marr.,RANK 22,MIDDLE ME,2,MILITARY REGULARS,SERVICE F,SERVICE B,MDES,23.41666667,VOCATION 12,UNIT 262,0,0,0,Secondary,GCE 'O' Level,4,GCE 'O' LEVEL,NO,NONE,NONE,NO,NO,NO,1,1,1,0,0,YES,YES,NO,4,PRIVATE NON-LANDED,PRIVATE,7,NONE,NO,0,0,3,23.79,0,3.035232623,9.826735362
10000803,Male,Singapore,Singaporean,40,36 to 40,Marr.,RANK 17,MIDDLE OFFICER,3,NATIONAL SERVICEMEN,SERVICE D,SERVICE C,SAVER-EOS,22.16666667,VOCATION 262,UNIT 279,2,11,12,University,Pass Degree,8,BACHELOR OF ENGINEERING (MERIT),NO,NONE,NONE,NO,NO,NO,1,1,0,0,0,YES,YES,NO,1,PRIVATE NON-LANDED,PRIVATE,7,NONE,NO,0,3,5,16.82,0,5.63907132,8.285418903
10000811,Male,Singapore,Singaporean,40,36 to 40,Marr.,RANK 7,MIDDLE WOSE,2,MILITARY REGULARS,SERVICE D,SERVICE C,PP-EWOS,21.91666667,VOCATION 134,UNIT 8,0,0,0,Secondary,GCE 'N' Level,3,GCE 'N' LEVEL,NO,NONE,NONE,NO,NO,NO,1,1,1,0,0,YES,NO,NO,2,4-ROOM,PUBLIC,4,NONE,NO,0,2,4,20.02,0,-22.78716531,-15.29899454
10000812,Male,Singapore,Singaporean,50,40 and Above,Marr.,RANK 22,MIDDLE ME,2,MILITARY REGULARS,SERVICE C,SERVICE B,MDES,31,VOCATION 19,UNIT 177,2,19,20,Diploma,Diploma,6,DIPLOMA IN WAREHOUSE MANAGEMENT,NO,NONE,NONE,NO,NO,NO,1,1,1,0,0,YES,YES,YES,3,4-ROOM,PUBLIC,4,NONE,NO,0,0,3,14.04,0,-1.9768543,8.572630118
10000818,Male,Singapore,Singaporean,52,40 and Above,Widow,RANK 5,MIDDLE WOSE,10,MILITARY REGULARS,SERVICE D,SERVICE C,PP-EWOS,30.58333333,VOCATION 289,UNIT 241,4,11,20.5,Primary,PSLE/PSPE,2,NOT AVAILABLE,NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,NO,NO,NO,3,3-ROOM,PUBLIC,3,NONE,NO,0,2,4,6.42,0,-27.3300358,-23.93406927
10000820,Male,Singapore,Singaporean,50,40 and Above,Marr.,RANK 22,MIDDLE ME,3,MILITARY REGULARS,SERVICE A,SERVICE A,MDES,29.08333333,VOCATION 236,UNIT 258,3,12,18.33333333,Pre University,GCE 'A' Level,6,GCE 'A' LEVEL,NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,NO,NO,NO,3,EXECUTIVE,PUBLIC,6,NONE,NO,0,1,5,13.03,0,-11.57645687,6.759970472
